Usage Batch Name,RRO Account Number,RRO Name,Payment Date,# Details Work Not Found,Gross USD Work Not Found,# Details Work Research,Gross USD Work Research,# Details Sent for RA,Gross USD Sent for RA,# Details RH Not Found,Gross USD RH Not Found
Batch with rro which is not included into table with estimated service fee,5000581900,The Copyright Company,01/03/2010,0,0.00,1,100.0000000000,0,0.00,0,0.00
Batch with usages in different statuses,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/03/2010,0,0.00,1,200.0000000000,1,200.0000000000,1,200.0000000000
Batch with two sent to lm usages and two not included into scenario usages,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",04/21/2010,0,0.00,2,200.0000000000,0,0.00,0,0.00
AT_batch-summary-report-2_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,0,0.00,0,0.00,0,0.00,1,50.0000000000
AT_batch-summary-report-3_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-4_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,0,0.00,1,50.0000000000,1,50.0000000000,0,0.00
AT_batch-summary-report-5_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-6_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",01/04/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-7_BATCH,2000017000,"CLA, The Copyright Licensing Agency Ltd.",01/04/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-8_BATCH,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",01/04/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-12_BATCH,2000017000,"CLA, The Copyright Licensing Agency Ltd.",05/08/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
AT_batch-summary-report-9_BATCH,7000581909,"CLASS, The Copyright Licensing and Administration Society of Singapore Ltd",05/08/2018,0,0.00,1,100.0000000000,1,100.0000000000,0,0.00
Batch with NTS,2000017010,"JAC, Japan Academic Association for Copyright Clearance, Inc.",02/12/2021,1,500.0000000000,0,0.00,0,0.00,0,0.00
