Detail ID,Detail Status,Product Family,Usage Batch Name,Fiscal Year,RRO Account #,RRO Name,Payment Date,Title,Article,Standard Number,Wr Wrk Inst,RH Account #,RH Name,Publisher,Pub Date,Number of Copies,Reported value,Amt in USD,Gross Amt in USD,Market,Market Period From,Market Period To,Author,Line,Error Reason
,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,2,Detail ID: Field is required and cannot be null or empty
-12345678,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,3,Detail ID: Field value should be positive number
12345678901,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,4,Detail ID: Field value should not exceed 10 characters
12345678,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,6,Detail ID: Duplicate with Line 5
23456789,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,,,,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,7,Wr Wrk Inst: Field is required and cannot be null or empty
34567890,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,-987654320,,,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,8,Wr Wrk Inst: Field value should be positive number
45678901,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,98765432101234567,,,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,9,Wr Wrk Inst: Field value should not exceed 15 characters
-23456789,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,-987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,10,Detail ID: Field value should be positive number; Wr Wrk Inst: Field value should be positive number
56789012,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,11,Detail with such ID doesn’t exist in the system or usage detail doesn’t have WORK_RESEARCH status
67890123,WORK_RESEARCH,FAS,Title Mapping_PI,FY2018,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,987654320,,,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,12,Detail with such ID doesn’t exist in the system or usage detail doesn’t have WORK_RESEARCH status
