Detail ID,Title,Article,Standard Number,Wr Wrk Inst,RH Acct Number,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10000017,At-risk youth : a comprehensive response : for counselors1088.89 teachers1088.89 psychologists1088.89 and human service professionals,Ch.1 An Introduction to At-Risk Issues,12345XX-12976,123456789,1000011010,,1/17/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000022,The sacred tree,The story of the sacred tree,12345XX-177984,123456789,1000003532,,1/22/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000025,Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123115,123456789,1000021130,,1/25/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000026,Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123123,123456789,1000024948,,1/26/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000028,Reclaiming youth at risk : our hope for the future,Mending the Broken Circle,12345XX-123116,123456789,1000018612,,1/28/2013,,23.25,Univ,,2015,Aarseth1088.89 Espen J.
10000032,AACE newsletter,,12345XX-1297,123456789,1000032331,,2/1/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,Aarseth1088.89 Espen J.
10000037,Huronia business times,,12345XX-67986,123456789,1000025974,,2/6/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
10000038,Huronia business times,,12345XX-67987,123456789,1000024935,,2/7/2013,,23.25,Bus1088.89 Sch1088.89 Univ,,2015,
