Detail ID,Title,Article,Standard Number,Wr Wrk Inst,RH Acct Number,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Line,Error Reason
,,,,,,,,,,,,,,2,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,3,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,4,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,5,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,6,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,7,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,8,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,9,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,10,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,11,Detail ID: Field is required and cannot be null or empty; Title: Field is required and cannot be null or empty; Standard Number: Field is required and cannot be null or empty; Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
