Detail ID,Detail Status,Product Family,Usage Batch Name,RRO Account #,RRO Name,RH Account #,RH Name,Wr Wrk Inst,System Title,Reported Standard Number,Standard Number,Standard Number Type,Fiscal Year,Payment Date,Reported Title,Article,Publisher,Pub Date,Number of Copies,Reported Value,Gross Amt in USD,Batch Amt in USD,Market,Market Period From,Market Period To,Author,Comment,Line,Error Reason
1.11111E+11,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,2,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
1.11111E+11,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,3,Detail ID: Duplicate with Line 2
1.11111E+11,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,4,"Detail ID: Duplicate with Line 2, 3"
1.11111E+11,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,5,"Detail ID: Duplicate with Line 2, 3, 4"
9999997994,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,6,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
9999997995,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,123456789,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,7,Detail with such ID doesn't exist in the system or usage detail doesn't have WORK_RESEARCH status
9999997996,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,8,Wr Wrk Inst: Field is required and cannot be null or empty
9999997997,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,9,Wr Wrk Inst: Field is required and cannot be null or empty
9999997998,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,10,Wr Wrk Inst: Field is required and cannot be null or empty
9999997999,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,11,Wr Wrk Inst: Field is required and cannot be null or empty
9999998000,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,12,Wr Wrk Inst: Field is required and cannot be null or empty
9999998001,WORK_NOT_FOUND,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Test system title,,978-0-7695-2365-1,,FY2018,03/14/2018,Test title,What works in breastfeeding promotion,,01/15/2013,,11,48488.33333,145465,Univ,2015,2015,,usage from researched_usages_2000_errors.csv,13,Wr Wrk Inst: Field is required and cannot be null or empty
