Detail ID,Detail Status,Product Family,Usage Batch Name,RRO Account #,RRO Name,RH Account #,RH Name,Wr Wrk Inst,System Title,Reported Standard Number,Standard Number,Standard Number Type,Fiscal Year,Payment Date,Reported Title,Article,Publisher,Pub Date,Number of Copies,Reported Value,Gross Amt in USD,Batch Amt in USD,Market,Market Period From,Market Period To,Author,Comment
,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
-12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
12345678901,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
12345678,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
23456789,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
34567890,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,-98765432,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
45678901,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,98765432101234567,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/16/2013,,12,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
-23456789,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,-98765432,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
56789012,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
67890123,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,Letter to the Editor,978-0-7695-2365-1,978-0-7695-2365-1,,FY2018,03/14/2018,Letter to the Editor,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
78901234,WORK_RESEARCH,FAS,Title Mapping_PI,2000017011,"DALRO, Dramatic, Artistic & Literary Rights Organisation",,,987654321,,,,,FY2018,03/14/2018,,What works in breastfeeding promotion,,01/15/2013,,11,48488.3333333333,145465,Univ,2015,2015,,usage from researched_usages_errors.csv
