Assessment Name,Coverage Year,Grade,Wr Wrk Inst,Reported Work Portion ID,Reported Standard Number,Reported Title,Reported Media Type,Reported Article or Chapter Title,Reported Author,Reported Publisher,Reported Publication Date,Reported Page Range,Reported Vol/Number/Series,Comment,Line,Error Reason
AssessmentName1,2019-2020,L,122980288,a1,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,2,"Grade: Field value should be in range K-12 including K,12"
AssessmentName2,2019-2020,L,122980288,a2,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,3,"Grade: Field value should be in range K-12 including K,12"
AssessmentName3,2019-2020,L,122980288,a3,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,4,"Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a4,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,5,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
Assessment Name5,2019-2020,L,122980288,a5,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,6,"Grade: Field value should be in range K-12 including K,12"
Assessment Name6,2019-2020,L,122980288,a6,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,7,"Grade: Field value should be in range K-12 including K,12"
Assessment Name7,2019-2020,L,122980288,a7,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,8,"Grade: Field value should be in range K-12 including K,12"
Assessment Name8,2019-2020,L,122980288,a8,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,9,"Grade: Field value should be in range K-12 including K,12"
Assessment Name9,2019-2020,L,122980288,a9,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,10,"Grade: Field value should be in range K-12 including K,12"
Assessment Name10,2019-2020,L,122980288,a10,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,11,"Grade: Field value should be in range K-12 including K,12"
Assessment Name11,2019-2020,L,122980288,a11,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,12,"Grade: Field value should be in range K-12 including K,12"
Assessment Name12,2019-2020,L,122980288,a12,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,13,"Grade: Field value should be in range K-12 including K,12"
,,,,,,,,,,,,,,,,14,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,15,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,16,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,17,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,18,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,19,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,20,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,21,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,22,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,23,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,24,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,25,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,26,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,27,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,28,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,29,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,30,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,31,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,32,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,33,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,34,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,35,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,36,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,37,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,38,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,39,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,40,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,41,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,42,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,43,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,44,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,45,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,46,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,47,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,48,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,49,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,50,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,51,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,52,Row is incorrect: Expected columns count is 15 actual 16
,,,,,,,,,,,,,,,,53,Row is incorrect: Expected columns count is 15 actual 16
,2019-2020,L,122980288,a13,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,54,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
,2019-2020,L,122980288,a14,978-0-87664-361-7,ReportedTitle1,Image,,Reported Author1,Reported Publisher1,7/7/2019,,,Invalid Grade,55,"Assessment Name: Field is required and cannot be null or empty; Grade: Field value should be in range K-12 including K,12"
