Title,Article,Standard Number,Wr Wrk Inst,RH Account #,Publisher,Pub Date,Number of Copies,Reported Value,Market,Market Period From,Market Period To,Author,Comment,Line,Error Reason
,,,,,,,,,,,,,,2,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,3,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,4,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,5,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,6,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,7,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,8,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,9,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,10,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,11,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,12,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,13,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,14,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,15,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,16,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,17,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,18,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,19,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,20,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,21,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,22,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,23,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,24,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,25,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,26,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,27,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,28,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,29,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,30,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,31,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,32,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,33,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,34,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,35,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,36,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,37,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,38,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,39,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,40,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,41,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,42,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,43,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,44,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,45,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,46,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,47,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,48,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,49,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,50,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,51,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,52,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,53,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,54,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,55,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,56,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
,,,,,,,,,,,,,,57,Reported Value: Field is required and cannot be null or empty; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty; Market Period To: Field is required and cannot be null or empty
At-risk youth : a comprehensive response : for counselors1088.89 teachers1088.89 psychologists1088.89 and human service professionals,Ch.1 An Introduction to At-Risk Issues,12345XX-12976,123456789,1000011010,,1/17/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,58,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
The sacred tree,The story of the sacred tree,12345XX-177984,123456789,1000003532,,1/22/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,59,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123115,123456789,1000021130,,1/25/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,60,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Reclaiming youth at risk : our hope for the future,The Circle of Courage,12345XX-123123,123456789,1000024948,,1/26/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,61,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
Reclaiming youth at risk : our hope for the future,Mending the Broken Circle,12345XX-123116,123456789,1000018612,,1/28/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,62,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
AACE newsletter,,12345XX-1297,123456789,1000032331,,2/1/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,63,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Huronia business times,,12345XX-67986,123456789,1000025974,,2/6/201,,23.25,,,2015,,,64,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Huronia business times,,12345XX-67987,123456789,1000024935,,2/7/201,,23.25,,,2015,,,65,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Metropolis--and beyond : selected essays,,12345XX-92845,123456789,1000030340,,2/9/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,66,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Computers and the information society,,12345XX-28702,123456789,1000024955,,2/10/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,67,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The New York times (1857- ),Digest of Civil Rights Bill's Provisions,12345XX-168891,123456789,1000005335,,2/21/201,,23.25,,,2015,,,68,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The New York times (1857- ),I.O.C. Adopts Policy for Deciding Whether an Athlete Can Compete as a Woman,12345XX-169332,123456789,1000014273,,2/25/201,,23.25,,,2015,,,69,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
The New York times (1857- ),Registration in the South,12345XX-169349,123456789,1000024950,,2/26/201,,23.25,,,2015,,,70,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194003,123456789,1000011806,,2/28/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,71,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194004,123456789,1000006470,,3/1/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,72,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
Washington post (1974- ),Neighborhoods Key to Future Income Study Finds,12345XX-194029,123456789,1000001950,,3/3/201,,23.25,,,2015,Aarseth1088.89 Espen J.,,73,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market: Field is required and cannot be null or empty; Market Period From: Field is required and cannot be null or empty
AAOHN journal : official journal of the American Association of Occupational Health Nurses (1986- ),page 2A-20--Toward a Model for Effectiveness: What Alberta Occupational Health Nurses Think - A Canadian study resulted in this evolving model that makes explicit the foundations1088.89 functions1088.89 relationships1088.89 and goals for effectiveness in practice.,12345XX-1582,123456789,1000027149,,3/6/201,,23.25,Univ,,2015,Aarseth1088.89 Espen J.,,74,Pub Date: Field value should have MM/dd/yyyy or M/d/yyyy format; Market Period From: Field is required and cannot be null or empty
